# THERMINATOR 2 Log File
[2021-12-03 20:04:39]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 20:04:46]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 20:04:54]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 20:05:01]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 20:05:07]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-03 20:05:25]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 20:05:33]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 20:13:41]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 20:13:54]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 20:14:11]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 20:14:18]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 20:14:26]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 20:14:33]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 20:14:39]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-03 20:14:57]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 20:15:05]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 20:21:17]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 20:21:29]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 20:21:47]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 20:21:54]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 20:22:02]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 20:22:08]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-05 21:25:21]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-05 21:25:33]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-05 21:25:50]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-05 21:25:57]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-05 21:26:05]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-05 21:26:12]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-05 21:26:18]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-05 21:26:35]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-05 21:26:44]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-05 21:43:17]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-05 21:43:29]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
